class_name, cluster_id
ClassDefinition(Register,jedit_4.3\jEdit\org\gjt\sp\jedit\Registers.java):486,1
ClassDefinition(ClipboardRegister,jedit_4.3\jEdit\org\gjt\sp\jedit\Registers.java):504,1
ClassDefinition(StringRegister,jedit_4.3\jEdit\org\gjt\sp\jedit\Registers.java):612,1
ClassDefinition(RegisterSaver,jedit_4.3\jEdit\org\gjt\sp\jedit\RegisterSaver.java):28,1
ClassDefinition(RegistersListener,jedit_4.3\jEdit\org\gjt\sp\jedit\RegistersListener.java):28,1
ClassDefinition(ServiceListHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\ServiceListHandler.java):42,1
ClassDefinition(ServiceManager,jedit_4.3\jEdit\org\gjt\sp\jedit\ServiceManager.java):90,1
ClassDefinition(Descriptor,jedit_4.3\jEdit\org\gjt\sp\jedit\ServiceManager.java):262,1
ClassDefinition(ServiceFoldHandlerProvider,jedit_4.3\jEdit\org\gjt\sp\jedit\ServiceManager.java):331,1
ClassDefinition(SettingsReloader,jedit_4.3\jEdit\org\gjt\sp\jedit\SettingsReloader.java):33,1
ClassDefinition(SettingsXML,jedit_4.3\jEdit\org\gjt\sp\jedit\SettingsXML.java):46,1
ClassDefinition(Saver,jedit_4.3\jEdit\org\gjt\sp\jedit\SettingsXML.java):55,1
ClassDefinition(TextUtilities,jedit_4.3\jEdit\org\gjt\sp\jedit\TextUtilities.java):47,1
ClassDefinition(View,jedit_4.3\jEdit\org\gjt\sp\jedit\View.java):140,1
ClassDefinition(CaretHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\View.java):2117,1
ClassDefinition(ScrollHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\View.java):2150,1
ClassDefinition(ViewConfig,jedit_4.3\jEdit\org\gjt\sp\jedit\View.java):2202,1
ClassDefinition(MyFocusTraversalPolicy,jedit_4.3\jEdit\org\gjt\sp\jedit\View.java):2277,1
ClassDefinition(SetCursorVisitor,jedit_4.3\jEdit\org\gjt\sp\jedit\View.java):2287,1
ClassDefinition(BrowserCommandsMenu,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserCommandsMenu.java):40,1
ClassDefinition(BrowserIORequest,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserIORequest.java):37,1
ClassDefinition(BrowserListener,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserListener.java):31,1
ClassDefinition(BrowserView,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserView.java):47,1
ClassDefinition(ParentDirectoryRenderer,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserView.java):392,1
ClassDefinition(ParentMouseHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserView.java):443,1
ClassDefinition(LoadingPlaceholder,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserView.java):611,1
ClassDefinition(ParentDirectoryList,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\BrowserView.java):614,1
ClassDefinition(FileCellRenderer,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\FileCellRenderer.java):41,1
ClassDefinition(ExpansionToggleBorder,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\FileCellRenderer.java):221,1
ClassDefinition(VFSBrowser,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):54,1
ClassDefinition(CommandsMenuButton,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):1522,1
ClassDefinition(PluginsMenuButton,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):1568,1
ClassDefinition(FavoritesMenuButton,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):1627,1
ClassDefinition(DirectoryLoadedAWTRequest,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):1783,1
ClassDefinition(BrowserActionContext,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):1898,1
ClassDefinition(HistoryComboBoxEditor,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):1983,1
ClassDefinition(VFSFileFilterRenderer,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):2073,1
ClassDefinition(DirectoriesOnlyFilter,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSBrowser.java):2091,1
ClassDefinition(VFSDirectoryEntryTable,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSDirectoryEntryTable.java):54,1
ClassDefinition(ClearTypeSelect,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSDirectoryEntryTable.java):565,1
ClassDefinition(ColumnHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSDirectoryEntryTable.java):574,1
ClassDefinition(MainMouseHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSDirectoryEntryTable.java):588,1
ClassDefinition(VFSDirectoryEntryTableModel,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSDirectoryEntryTableModel.java):42,1
ClassDefinition(ExtendedAttribute,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSDirectoryEntryTableModel.java):377,1
ClassDefinition(VFSFileChooserDialog,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSFileChooserDialog.java):50,1
ClassDefinition(BrowserHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSFileChooserDialog.java):414,1
ClassDefinition(GetFileTypeRequest,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSFileChooserDialog.java):539,1
ClassDefinition(VFSFileNameField,jedit_4.3\jEdit\org\gjt\sp\jedit\browser\VFSFileNameField.java):41,1
ClassDefinition(BlockNameSpace,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BlockNameSpace.java):52,1
ClassDefinition(BSHAllocationExpression,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHAllocationExpression.java):43,1
ClassDefinition(BSHAmbiguousName,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHAmbiguousName.java):37,1
ClassDefinition(BSHArguments,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHArguments.java):37,1
ClassDefinition(BSHArrayDimensions,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHArrayDimensions.java):43,1
ClassDefinition(BSHArrayInitializer,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHArrayInitializer.java):39,1
ClassDefinition(BSHAssignment,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHAssignment.java):37,1
ClassDefinition(BSHBinaryExpression,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHBinaryExpression.java):42,1
ClassDefinition(BSHBlock,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHBlock.java):37,1
ClassDefinition(NodeFilter,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHBlock.java):144,1
ClassDefinition(BSHCastExpression,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHCastExpression.java):44,1
ClassDefinition(BSHClassDeclaration,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHClassDeclaration.java):38,1
ClassDefinition(BshClassManager,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BshClassManager.java):80,1
ClassDefinition(SignatureKey,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BshClassManager.java):597,1
ClassDefinition(BSHEnhancedForStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHEnhancedForStatement.java):15,1
ClassDefinition(BSHFormalComment,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHFormalComment.java):5,1
ClassDefinition(BSHFormalParameter,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHFormalParameter.java):40,1
ClassDefinition(BSHFormalParameters,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHFormalParameters.java):36,1
ClassDefinition(BSHForStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHForStatement.java):40,1
ClassDefinition(BSHIfStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHIfStatement.java):37,1
ClassDefinition(BSHImportDeclaration,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHImportDeclaration.java):37,1
ClassDefinition(BshIterator,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BshIterator.java):41,1
ClassDefinition(BSHLiteral,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHLiteral.java):37,1
ClassDefinition(BshMethod,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BshMethod.java):54,1
ClassDefinition(BSHMethodDeclaration,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHMethodDeclaration.java):36,1
ClassDefinition(BSHMethodInvocation,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHMethodInvocation.java):39,1
ClassDefinition(BSHPackageDeclaration,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHPackageDeclaration.java):37,1
ClassDefinition(BSHPrimaryExpression,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHPrimaryExpression.java):37,1
ClassDefinition(BSHPrimarySuffix,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHPrimarySuffix.java):40,1
ClassDefinition(BSHPrimitiveType,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHPrimitiveType.java):37,1
ClassDefinition(BSHReturnStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHReturnStatement.java):37,1
ClassDefinition(BSHReturnType,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHReturnType.java):37,1
ClassDefinition(BSHStatementExpressionList,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHStatementExpressionList.java):37,1
ClassDefinition(BSHSwitchLabel,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHSwitchLabel.java):36,1
